央视频道,#genre#
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233404/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233350/index.m3u8
东奥纪实4k,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233353/index.m3u8
CCTV1,http://183.215.116.134:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV2,http://183.215.116.134:6610/180000001001/00000001000000000008000000047431/index.m3u8?
CCTV3,http://183.215.116.134:6610/180000001001/00000001000000000008000000047432/index.m3u8?
CCTV4,http://183.215.116.134:6610/180000001001/00000001000000000008000000047433/index.m3u8?
CCTV5,http://183.215.116.134:6610/180000001001/00000001000000000008000000047434/index.m3u8?
CCTV5+,http://183.215.116.134:6610/180000001001/00000001000000000008000000047442/index.m3u8?
CCTV6,http://183.215.116.134:6610/180000001001/00000001000000000008000000047435/index.m3u8?
CCTV7,http://183.215.116.134:6610/180000001001/00000001000000000008000000047436/index.m3u8?
CCTV8,http://183.215.116.134:6610/180000001001/00000001000000000008000000047437/index.m3u8?
CCTV9,http://183.215.116.134:6610/180000001001/00000001000000000008000000047438/index.m3u8?
CCTV10,http://183.215.116.134:6610/180000001001/00000001000000000008000000047439/index.m3u8?
CCTV12,http://183.215.116.134:6610/180000001001/00000001000000000008000000047440/index.m3u8?
CCTV14,http://183.215.116.134:6610/180000001001/00000001000000000008000000047441/index.m3u8?
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰中文,http://v.mp.haue.edu.cn/hls/fhzw.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8  
凤凰资讯,http://v.mp.haue.edu.cn/hls/fhzx.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
澳亚卫视,http://live.mastvnet.com:800/4rlff1m/1024/live.m3u8
澳亚卫视,http://live.mastvnet.com:800/4rlff1m/1024/live.m3u8
澳亚卫视,http://live.mastvnet.com:800/4rlff1m/a/live.m3u8
澳亚卫视,http://live.mastvnet.com:800/4rlff1m/live.m3u8
澳亚卫视,http://live.mastvnet.com:800/4rlff1m/live.m3u8
翡翠台,http://meimei.kandiantv.cn:80/tutu/gudou.php?id=1350_4500&/PLTV/hls.smil.m3u8
明珠台,http://meimei.kandiantv.cn:80/tutu/gudou.php?id=1351_4500&/PLTV/hls.smil.m3u8
